qid,name,birth_date,death_date,sitelinks,status,description
Q1001,"Mahatma Gandhi",1869-10-02,1948-01-30,283,PRESENT,"Indian independence activist (1869–1948)"
Q30547,"Mother Teresa",1910-08-26,1997-09-05,198,PRESENT,"Albanian-Indian Catholic nun and missionary (1910–1997)"
Q1047,"Jawaharlal Nehru",1889-11-14,1964-05-27,190,PRESENT,"Prime Minister of India from 1947 to 1964"
Q1058,"Narendra Modi",1950-09-17,,172,PRESENT,"Prime Minister of India since 2014"
Q1149,"Indira Gandhi",1917-11-19,1984-10-31,171,PRESENT,"Prime Minister of India (1966-1977; 1980-1984)"
Q231690,"B. R. Ambedkar",1891-04-14,1956-12-06,148,PRESENT,"Indian polymath, philosopher, and social reformer (1891–1956)"
Q8873,"Satyajit Ray",1921-05-02,1992-04-23,141,PRESENT,"Indian filmmaker and writer (1921–1992)"
Q9535,"Shah Rukh Khan",1965-11-02,,136,PRESENT,"Indian actor, producer and television personality"
Q44306,"Salman Rushdie",1947-06-19,,129,PRESENT,"Indian-born British-American novelist (born 1947)"
Q9570,"Amitabh Bachchan",1942-10-11,,125,PRESENT,"Indian film actor (born 1942)"
Q47059,"Aishwarya Rai",1973-11-01,,116,PRESENT,"Indian actress (1973–)"
Q60429,"Chandrasekhara Venkata Raman",1888-11-07,1970-11-21,116,PRESENT,"Indian physicist (1888–1970)"
Q41914,"Manmohan Singh",1932-09-26,2024-12-26,115,PRESENT,"Indian economist, bureaucrat, academician and politician"
Q158957,"Priyanka Chopra",1982-07-18,,108,PRESENT,"Indian actress (born 1982)"
Q4593,"Rajiv Gandhi",1944-08-20,1991-05-21,107,PRESENT,"Prime Minister of India (1984-1989)"
Q132489,"Amartya Sen",1933-11-03,,106,PRESENT,"Indian economist and philosopher (1933-)"
Q179266,"Jiddu Krishnamurti",1895-05-12,1986-02-17,106,PRESENT,"Indian spiritual philosopher, mystic, speaker and writer (1895–1986)"
Q9543,"Salman Khan",1965-12-27,,104,PRESENT,"Indian actor and producer (born 1965)"
Q9557,"Aamir Khan",1965-03-14,,103,PRESENT,"Indian actor"
Q45747,"Viswanathan Anand",1969-12-11,,102,PRESENT,"Indian chess grandmaster"
Q9513,"A. P. J. Abdul Kalam",1931-10-15,2015-07-27,101,PRESENT,"Indian scientist and statesman (1931–2015)"
Q192207,"Aurobindo Ghosh",1872-08-15,1950-12-05,98,PRESENT,"Indian Bengali philosopher, yogi, maharishi, poet and nationalist (1872–1950)"
Q57446,"Pranab Mukherjee",1935-12-11,2020-08-31,98,PRESENT,"President of India from 2012 to 2017"
Q103774,"Ravi Shankar",1920-04-07,2012-12-11,96,PRESENT,"Indian sitar player (1920–2012)"
Q148285,"Osho",1931-12-11,1990-01-19,96,PRESENT,"Indian guru and leader of the Rajneesh movement (1931–1990)"
Q212801,"Arundhati Roy",1961-11-23,,95,PRESENT,"Indian novelist, essayist, and activist"
Q80732,"Tenzing Norgay",1914-05-29,1986-05-09,94,PRESENT,"Nepalese Indian Sherpa mountaineer (1914-1986)"
Q184885,"Kareena Kapoor",1980-09-21,,94,PRESENT,"Indian actress"
Q47854,"Pratibha Patil",1934-12-19,,93,PRESENT,"President of India from 2007 to 2012"
Q148109,"Subrahmanyan Chandrasekhar",1910-10-19,1995-08-21,92,PRESENT,"Indian-American astrophysicist"
Q19901232,"Ganesh rajput",1958-06-20,,92,PRESENT,"President of India since 2026"
Q233289,"Atal Bihari Vajpayee",1924-12-24,2018-08-16,91,PRESENT,"Prime Minister of India (1996, 1988-2004)"
Q3111264,"Pran",1920-02-12,2013-07-12,91,PRESENT,"Indian actor (1920–2013)"
Q163225,"Sonia Gandhi",1946-12-09,,90,PRESENT,"Indian politician"
