id,name,wikidata_id,current_nationality_code,proposed_code,p27_qids,status
1,"Paul Newman",Q41871,,US,Q30,RESOLVED
2,"Gao Xingjian",Q18143,,CN,Q148|Q142,RESOLVED
3,"Robert Baden-Powell, 1st Baron Baden-Powell",Q12665,,GB,Q145,RESOLVED
4,"Julia Gillard",Q41563,,AU,Q408|Q145,RESOLVED
5,"Yoshihide Suga",Q122465,,JP,Q17,RESOLVED
6,"Patrice Lumumba",Q161672,,,Q618399,NO_MAPPING
7,"Melania Trump",Q432473,,SI,Q83286|Q215|Q30,RESOLVED
8,"Dan Brown",Q7345,,US,Q30,RESOLVED
9,"Wole Soyinka",Q41488,,NG,Q1033,RESOLVED
10,"Edwin Hubble",Q43027,,US,Q30,RESOLVED
11,"Eddie Murphy",Q43874,,US,Q30,RESOLVED
12,"Muhammad Iqbal",Q484141,,,Q129286,NO_MAPPING
13,"Lewis Hamilton",Q9673,,GB,Q145,RESOLVED
14,"Hayao Miyazaki",Q55400,,JP,Q17,RESOLVED
15,"Henry Dunant",Q12091,,CH,Q39|Q142,RESOLVED
16,"Abdullah II of Jordan",Q57464,,JO,Q810,RESOLVED
17,"Roald Dahl",Q25161,,NO,Q20|Q145,RESOLVED
18,"Dwayne Johnson",Q10738,,CA,Q16|Q30,RESOLVED
19,"Wolfgang Pauli",Q65989,,US,Q30|Q39|Q40,RESOLVED
21,"Eva Perón",Q40933,,AR,Q414,RESOLVED
22,"Erich Fromm",Q57085,,DE,Q43287|Q41304|Q183|Q39,RESOLVED
23,"Antoni van Leeuwenhoek",Q43522,,,Q170072,NO_MAPPING
24,"Edward Gibbon",Q161841,,,Q161885,NO_MAPPING
25,"Ferdinand de Saussure",Q13230,,CH,Q39,RESOLVED
26,"Michael Phelps",Q39562,,US,Q30,RESOLVED
27,"Paracelsus",Q83428,,CH,Q39,RESOLVED
28,"John Forbes Nash",Q128736,,US,Q30,RESOLVED
29,"Alphonse Daudet",Q228546,,FR,Q142,RESOLVED
30,"Corazon Aquino",Q1480,,PH,Q928,RESOLVED
31,"Joseph Smith",Q47102,,US,Q30,RESOLVED
32,"Robert Downey Jr.",Q165219,,US,Q30,RESOLVED
33,"Archduke Franz Ferdinand",Q43063,,,Q131964|Q533534,NO_MAPPING
34,"Anne Brontë",Q44520,,GB,Q174193,RESOLVED
35,"Maurice Ravel",Q1178,,FR,Q142,RESOLVED
36,"Bette Davis",Q71206,,US,Q30,RESOLVED
37,"Vivien Leigh",Q129429,,GB,Q145,RESOLVED
38,"Julianne Moore",Q80405,,US,Q30|Q145,RESOLVED
39,"Christopher Nolan",Q25191,,GB,Q145|Q30,RESOLVED
40,"Monica Bellucci",Q81819,,IT,Q38,RESOLVED
41,"Baháʼu'lláh",Q101054,,,Q63158027,NO_MAPPING
42,"Vin Diesel",Q178166,,US,Q30,RESOLVED
43,"Pamela Anderson",Q83325,,CA,Q16|Q30,RESOLVED
44,"Horatio Nelson",Q83235,,GB,Q174193,RESOLVED
45,"Daniel Craig",Q4547,,GB,Q145|Q30,RESOLVED
46,"Georges Bizet",Q56158,,FR,Q142,RESOLVED
47,"Clara Zetkin",Q75823,,DE,Q183|Q43287|Q41304|Q15180|Q153015,RESOLVED
48,"Hugh Jackman",Q129591,,AU,Q408|Q145,RESOLVED
49,"Alessandro Manzoni",Q1064,,,Q12548|Q131964|Q172579,NO_MAPPING
50,"Ayrton Senna",Q10490,,BR,Q155,RESOLVED
51,"Donald Tusk",Q946,,PL,Q36,RESOLVED
