route,check,severity,detail
/leaderboard,C1,3,"131 words of main content (<150)"
/about,C2,3,"first-200-chars identical across 1341 pages: e.g. /about, /age-calculator, /answers/how-does-stress-affect-life-expectancy, /answers/how-long-will-i-live"
/,T2,3,"title 103 chars (>65): ""Best Age Calculator, Celebrity Birthday Match & Life Expectancy | BornClock - Age & Birthday Calculator"""
/about,T2,3,"title 68 chars (>65): ""About BornClock — Built in India, Designed for the World | BornClock"""
/answers,T2,3,"title 83 chars (>65): ""Answers — Science-Backed Answers to Birthday, Age & Longevity Questions | BornClock"""
/answers/how-does-stress-affect-life-expectancy,T2,3,"title 73 chars (>65): ""How Does Stress Affect Life Expectancy? The Science Explained | BornClock"""
/answers/how-to-calculate-age,T2,3,"title 78 chars (>65): ""How to Calculate Your Exact Age in Years, Months, Days and Seconds | BornClock"""
/answers/what-generation-am-i,T2,3,"title 76 chars (>65): ""What Generation Am I? Gen Z, Millennial, Gen X, Boomer Explained | BornClock"""
/answers/what-is-my-biological-age,T2,3,"title 73 chars (>65): ""What Is Biological Age? How It Differs From Chronological Age | BornClock"""
/answers/what-is-my-zodiac-sign,T2,3,"title 72 chars (>65): ""What Is My Zodiac Sign? Western, Vedic and Chinese Explained | BornClock"""
/best-time-to-work-out,T2,3,"title 66 chars (>65): ""Best Time to Work Out — What the Science Actually Says | BornClock"""
/biological-age,T2,3,"title 68 chars (>65): ""Biological Age Calculator — Free Test, 12 WHO Biomarkers | BornClock"""
/biorhythm,T2,3,"title 81 chars (>65): ""Biorhythm Calculator — Your Physical, Emotional & Intellectual Cycles | BornClock"""
/biorhythm-workout-calculator,T2,3,"title 68 chars (>65): ""Biorhythm Workout Calculator — A Daily Training Check-In | BornClock"""
/birthday-report,T2,3,"title 72 chars (>65): ""Birthday Blueprint — The Ultimate Personalised Birthday Gift | BornClock"""
/birthday/1,T2,3,"title 67 chars (>65): ""January Birthdays — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/1,T2,3,"title 68 chars (>65): ""January 1 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/10,T2,3,"title 69 chars (>65): ""January 10 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/11,T2,3,"title 69 chars (>65): ""January 11 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/12,T2,3,"title 69 chars (>65): ""January 12 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/13,T2,3,"title 69 chars (>65): ""January 13 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/14,T2,3,"title 69 chars (>65): ""January 14 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/15,T2,3,"title 69 chars (>65): ""January 15 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/16,T2,3,"title 69 chars (>65): ""January 16 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/17,T2,3,"title 69 chars (>65): ""January 17 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/18,T2,3,"title 69 chars (>65): ""January 18 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/19,T2,3,"title 69 chars (>65): ""January 19 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/2,T2,3,"title 68 chars (>65): ""January 2 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/20,T2,3,"title 69 chars (>65): ""January 20 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/21,T2,3,"title 69 chars (>65): ""January 21 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/22,T2,3,"title 69 chars (>65): ""January 22 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/23,T2,3,"title 69 chars (>65): ""January 23 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/24,T2,3,"title 69 chars (>65): ""January 24 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/25,T2,3,"title 69 chars (>65): ""January 25 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/26,T2,3,"title 69 chars (>65): ""January 26 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/27,T2,3,"title 69 chars (>65): ""January 27 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/28,T2,3,"title 69 chars (>65): ""January 28 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/29,T2,3,"title 69 chars (>65): ""January 29 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/3,T2,3,"title 68 chars (>65): ""January 3 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/30,T2,3,"title 69 chars (>65): ""January 30 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/31,T2,3,"title 69 chars (>65): ""January 31 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/4,T2,3,"title 68 chars (>65): ""January 4 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/5,T2,3,"title 68 chars (>65): ""January 5 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/6,T2,3,"title 68 chars (>65): ""January 6 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/7,T2,3,"title 68 chars (>65): ""January 7 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/8,T2,3,"title 68 chars (>65): ""January 8 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/1/9,T2,3,"title 68 chars (>65): ""January 9 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/10,T2,3,"title 67 chars (>65): ""October Birthdays — Personality, Zodiac & Famous People | BornClock"""
/birthday/10/1,T2,3,"title 68 chars (>65): ""October 1 Birthday — Personality, Zodiac & Famous People | BornClock"""
