name,our_birth_date,wd_birth_date,stage,qid
Dante Alighieri,1265-01-01,1265-06-06,A2,Q1067
Mustafa Kemal Atatürk,1881-01-01,1881-05-19,A2,Q5152
Christopher Columbus,1451-01-01,1451-11-09,A2,Q7322
Thomas Aquinas,1225-01-01,1225-02-08,A2,Q9438
Joan of Arc,1412-01-01,1412-01-15,A2,Q7226
Elizabeth I of England,1533-01-01,1533-09-17,A2,Q7207
Dante Alighieri,1265-01-01,1265-06-06,A2,Q1067
Mustafa Kemal Atatürk,1881-01-01,1881-05-19,A2,Q5152
Christopher Columbus,1451-01-01,1451-11-09,A2,Q7322
Thomas Aquinas,1225-01-01,1225-02-08,A2,Q9438
Joan of Arc,1412-01-01,1412-01-15,A2,Q7226
Elizabeth I of England,1533-01-01,1533-09-17,A2,Q7207
Giovanni Boccaccio,1313-01-01,1313-06-24,A2,Q1402
Daniel Defoe,1660-01-01,1660-09-30,A2,Q40946
Louis VI of France,1081-01-01,1081-12-07,A2,Q165883
Jan Hendrik Oort,1900-01-01,1900-04-28,A2,Q309861
Cosimo de' Medici,1389-01-01,1389-10-05,A2,Q48544
Alfred Kinsey,1894-01-01,1894-06-23,A2,Q186561
Óscar Romero,1918-08-15,1917-08-15,B2,Q293455
Charles I of Naples,1226-01-01,1226-03-21,A2,Q203829
Jochi,1182-01-01,1182-06-13,A2,Q186581
Mohammad Najibullah,1947-01-01,1947-08-06,A2,Q207728
Jakob Böhme,1575-01-01,1575-05-04,A2,Q77017
Linda Hamilton,1956-01-01,1956-09-26,A2,Q208214
Anne of Austria,1601-01-01,1601-09-22,A2,Q151209
Ivan I of Moscow,1288-01-01,1288-11-01,A2,Q185316
Daddy Yankee,1977-02-03,1976-02-03,B2,Q272591
Claudia Goldin,1945-05-14,1946-05-14,B2,Q1097475
Tolui,1191-01-01,1191-03-17,A2,Q7517
Elizabeth of York,1465-01-01,1466-02-11,B2,Q207953
Fath-Ali Shah Qajar,1771-01-01,1772-08-05,B2,Q175299
Antonio da Correggio,1489-01-01,1489-09-08,A2,Q8457
Gus Grissom,1926-01-01,1926-04-03,A2,Q110879
Marie Tussaud,1760-01-01,1761-12-01,B2,Q219572
"Spencer Compton, 1st Earl of Wilmington",1674-01-01,1673-03-18,B2,Q270415
Charles W. Fairbanks,1852-01-01,1852-05-11,A2,Q270539
Alfonso V of Aragon,1396-01-01,1396-03-03,A2,Q312304
Sadegh Hedayat,1902-01-01,1903-02-17,B2,Q315017
Daniel Kaluuya,1989-01-01,1989-02-24,A2,Q510970
Fayruz,1934-11-21,1935-11-21,B2,Q3247658
Martin Gardner,1914-01-01,1914-10-21,A2,Q677706
Margaret Tudor,1489-01-01,1489-12-07,A2,Q523140
Mary J. Blige,1971-01-01,1971-01-11,A2,Q228909
Pyotr Bagration,1765-01-01,1765-07-10,A2,Q239260
Malik-Shah I,1055-01-01,1055-08-21,A2,Q311482
Anne Bonny,1697-01-01,1697-03-08,A2,Q231549
Khaleda Zia,1945-08-15,1946-08-15,B2,Q234814
Nurhaci,1559-01-01,1559-02-21,A2,Q311189
David Harbour,1975-01-01,1975-04-10,A2,Q391359
Ferdinand von Wrangel,1796-01-01,1796-12-29,B2,Q135329
Piper Laurie,1932-01-01,1932-01-22,A2,Q232282
Mohammad Khan Qajar,1742-01-01,1742-03-14,B2,Q324974
Robert F. Engle,1941-01-01,1942-11-10,B2,Q295653
Lothair III,1075-01-01,1075-06-15,A2,Q77189
Nizam al-Mulk,1018-01-01,1018-04-16,A2,Q298427
Miguel Ferrer,1954-02-07,1955-02-07,B2,Q463497
Vasily II of Moscow,1415-01-01,1415-03-19,A2,Q210359
Vladimir Propp,1895-01-01,1895-04-29,A2,Q313455
Anne of Denmark,1574-01-01,1574-12-22,A2,Q158248
Wayne Knight,1955-01-01,1955-08-07,A2,Q311976
Tom DeLonge,1975-01-01,1975-12-13,A2,Q4270
Yongzheng Emperor,1678-01-01,1678-12-13,A2,Q317839
Catherine of Valois,1401-01-01,1401-11-05,A2,Q229192
Rachel Corrie,1978-04-10,1979-04-10,B2,Q195154
Pieter Brueghel the Younger,1564-01-01,1564-06-02,A2,Q255828
Nasir Khusraw,1004-01-01,1004-09-09,A2,Q328796
Ileana D'Cruz,1987-11-01,1986-11-01,B2,Q3629983
Harry Harrison,1925-03-12,1924-03-12,B2,Q489193
John Smith,1580-01-01,1580-01-06,A2,Q228024
Keke Palmer,1993-01-01,1993-08-26,A2,Q273044
"Henry Stuart, Lord Darnley",1545-01-01,1545-12-07,A2,Q312381
Adrian Smith,1957-01-01,1957-02-27,A2,Q212070
Thomas Tallis,1505-01-01,1505-02-09,A2,Q207789
Ludolph van Ceulen,1540-01-01,1540-02-07,A2,Q310771
Abdul Rahman Arif,1916-01-01,1916-04-14,A2,Q307393
Anne Neville,1456-01-01,1456-06-20,A2,Q229218
Anne of Bohemia,1366-01-01,1366-05-19,A2,Q170202
Zelda Fitzgerald,1900-01-01,1900-07-24,A2,Q187324
Jigme Dorji Wangchuck,1928-01-01,1929-05-02,B2,Q298020
Börte,1161-01-01,1161-07-15,A2,Q234805
Friedrich August I of Saxony,1750-01-01,1750-12-23,A2,Q53444
Mary of Lorraine,1515-01-01,1515-12-02,A2,Q229846
Assimi Goïta,1983-01-01,1983-11-09,A2,Q98497406
Miguel López de Legazpi,1502-01-01,1502-06-22,A2,Q318500
Agrippa d'Aubigné,1552-01-01,1552-02-18,A2,Q334950
Charlie Cox,1982-01-01,1982-12-15,A2,Q454231
Katarina Witt,1964-01-01,1965-12-03,B2,Q58028
Sonam Gyatso,1543-01-01,1543-03-10,A2,Q25256
Carlo Maderno,1556-01-01,1556-05-24,A2,Q122328
Captain Beefheart,1941-01-01,1941-01-15,A2,Q312264
Infanta Cristina of Spain,1965-01-01,1965-06-13,A2,Q230580
Cícero Moraes,1982-01-01,1982-11-13,A2,Q16337199
Alisher Usmanov,1953-01-01,1953-09-09,A2,Q503147
John Fletcher,1579-01-01,1579-12-20,B2,Q312444
Michel Chasles,1793-01-01,1793-11-15,A2,Q318067
Alan Paton,1903-01-01,1903-01-11,A2,Q361623
Ronnie Coleman,1964-05-13,1963-05-13,B2,Q254827
Henry I of Portugal,1512-01-01,1512-02-10,A2,Q222123
Ann Blyth,1928-08-16,1927-08-16,B2,Q255378
Noah Centineo,1996-01-01,1996-05-09,A2,Q3877574
Eric Trump,1984-01-01,1984-01-06,A2,Q3731533
Dalai Lama 09 Lungtok Gyatso,1805-01-01,1805-12-01,A2,Q25246
Ugyen Wangchuck,1862-01-01,1862-06-11,A2,Q333866
Marie-Antoine Carême,1784-01-01,1784-06-08,A2,Q355751
Shah Alam II,1728-01-01,1728-06-25,A2,Q719449
Lobsang Sangay,1968-01-01,1968-09-05,A2,Q41443
Vera Miles,1929-08-23,1930-08-23,B2,Q237864
Joe Manganiello,1976-01-01,1976-12-28,A2,Q470005
Jesse Plemons,1988-01-01,1988-04-02,A2,Q1138674
Baldwin III of Jerusalem,1130-01-01,1130-12-07,A2,Q146465
Samuel Butler,1612-01-01,1612-02-03,B2,Q258766
Habibullah Khan,1872-01-01,1872-06-03,A2,Q334869
Fahriye Evcen,1985-06-04,1986-06-04,B2,Q77665
Trinle Gyatso,1856-01-01,1857-01-26,B2,Q25240
Elissa,1972-10-27,1971-10-27,B2,Q1118831
Mahamat Déby Itno,1984-01-01,1984-04-04,B2,Q16206405
John Fisher,1469-01-01,1469-10-28,A2,Q317149
Zaza Pachulia,1983-02-10,1984-02-10,B2,Q319614
Abdul Sattar Edhi,1928-01-01,1928-02-28,A2,Q317465
Michel Aflaq,1909-01-01,1910-01-09,B2,Q355416
Franklin J. Schaffner,1920-05-30,1921-05-30,B2,Q51503
